loan_key,company_reg_number,industry_group,loan_start_date,obs_end_date,event_date_augmented,event_type_augmented,event_hard_default,event_distress,event_augmented_loan,event_augmented_interval,start,stop,month_end,loan_original_amount,interest,loan_number_of_missed_payments,total_time_payments_late,is_overdraft,is_term_loan,duration_augmented_days,behavior_distress_flag,origination_credit_distress_flag,business_failure_score,credit_report_credit_score,missed_and_late_payments_last_five_years,credit_report_negative_items,payment_index,ratio_debt_to_revenue,credit_report_total_indebtedness,credit_report_good_standing_items,women_owned,number_of_officers,2019_revenue,capex,cogs,costs,accounts_receivable,capital_and_reserves,current_assets,current_liabilities,fixed_assets,long_term_liabilities,provisions_for_liabilities,liquidity_ratio,leverage_ratio,profit_margin_proxy,working_capital,receivable_turnover_proxy,factor_amount,factor_percent,uk_interest_rate,uk_cpi,uk_gdp,uk_interest_rate_diff,uk_cpi_diff,uk_gdp_yoy,ca_cum_new_accounts,ca_cum_amount,ca_cum_payin,ca_cum_payout,ca_latest_rev_ratio,ca_latest_cost_ratio,loan_age_days,log_loan_amount,log_ca_cum_amount,log_ca_cum_payin,log_ca_cum_payout,log_factor_amount
20000000_Overdraft_1,20000000,47 : Retail,2020-03-28,2021-03-28,,censored,0,0,0,0,0.0,4.0,2020-03-31,41000,,0,0,1,0,366.0,0,0,63,765,0,1,2,0.0139639172969052,7548.0,4,1,1,540536.0,158.79,5691.53,531828.0317,13328.0,13502.0,94341.0,71429.0,4094.0,13504.0,12857.0,1.320747585048299,6.289935569873362,0.016109846874496934,22912.0,40.553379848450746,0.0,0.0,0.1,0.0,652180.0,-0.65,-0.2999999999999999,-0.01995022961698445,1.0,869687.2297276888,438374.69600000005,431312.5337276888,0.5040601736066209,0.4959398263933791,4.0,10.62135173563291,13.675890069770842,12.990831575122998,12.97459056106245,0.0
20000000_Overdraft_1,20000000,47 : Retail,2020-03-28,2021-03-28,,censored,0,0,0,0,4.0,34.0,2020-04-30,41000,,0,0,1,0,366.0,0,0,63,765,0,1,2,0.0139639172969052,7548.0,4,1,1,540536.0,158.79,5691.53,531828.0317,13328.0,13502.0,94341.0,71429.0,4094.0,13504.0,12857.0,1.320747585048299,6.289935569873362,0.016109846874496934,22912.0,40.553379848450746,0.0,0.0,0.1,0.0,522356.0,0.0,0.0,-0.21671077788191195,1.0,869687.2297276888,438374.69600000005,431312.5337276888,0.5040601736066209,0.4959398263933791,34.0,10.62135173563291,13.675890069770842,12.990831575122998,12.97459056106245,0.0
20000000_Overdraft_1,20000000,47 : Retail,2020-03-28,2021-03-28,,censored,0,0,0,0,34.0,65.0,2020-05-31,41000,,0,0,1,0,366.0,0,0,63,765,0,1,2,0.0139639172969052,7548.0,4,1,1,540536.0,158.79,5691.53,531828.0317,13328.0,13502.0,94341.0,71429.0,4094.0,13504.0,12857.0,1.320747585048299,6.289935569873362,0.016109846874496934,22912.0,40.553379848450746,0.0,0.0,0.1,0.0,522356.0,0.0,0.0,-0.21671077788191195,1.0,869687.2297276888,438374.69600000005,431312.5337276888,0.5040601736066209,0.4959398263933791,65.0,10.62135173563291,13.675890069770842,12.990831575122998,12.97459056106245,0.0
20000000_Overdraft_1,20000000,47 : Retail,2020-03-28,2021-03-28,,censored,0,0,0,0,65.0,95.0,2020-06-30,41000,,0,0,1,0,366.0,0,0,63,765,0,1,2,0.0139639172969052,7548.0,4,1,1,540536.0,158.79,5691.53,531828.0317,13328.0,13502.0,94341.0,71429.0,4094.0,13504.0,12857.0,1.320747585048299,6.289935569873362,0.016109846874496934,22912.0,40.553379848450746,0.0,0.0,0.1,0.1,522356.0,0.0,0.1,-0.21671077788191195,1.0,869687.2297276888,438374.69600000005,431312.5337276888,0.5040601736066209,0.4959398263933791,95.0,10.62135173563291,13.675890069770842,12.990831575122998,12.97459056106245,0.0
20000000_Overdraft_1,20000000,47 : Retail,2020-03-28,2021-03-28,,censored,0,0,0,0,95.0,126.0,2020-07-31,41000,,0,0,1,0,366.0,0,0,63,765,0,1,2,0.0139639172969052,7548.0,4,1,1,540536.0,158.79,5691.53,531828.0317,13328.0,13502.0,94341.0,71429.0,4094.0,13504.0,12857.0,1.320747585048299,6.289935569873362,0.016109846874496934,22912.0,40.553379848450746,0.0,0.0,0.1,0.4,610972.0,0.0,0.30000000000000004,-0.08884537549194915,1.0,869687.2297276888,438374.69600000005,431312.5337276888,0.5040601736066209,0.4959398263933791,126.0,10.62135173563291,13.675890069770842,12.990831575122998,12.97459056106245,0.0
20000000_Overdraft_1,20000000,47 : Retail,2020-03-28,2021-03-28,,censored,0,0,0,0,126.0,157.0,2020-08-31,41000,,0,0,1,0,366.0,0,0,63,765,0,1,2,0.0139639172969052,7548.0,4,1,1,540536.0,158.79,5691.53,531828.0317,13328.0,13502.0,94341.0,71429.0,4094.0,13504.0,12857.0,1.320747585048299,6.289935569873362,0.016109846874496934,22912.0,40.553379848450746,0.0,0.0,0.1,-0.2999999999999999,610972.0,0.0,-0.7,-0.08884537549194915,1.0,869687.2297276888,438374.69600000005,431312.5337276888,0.5040601736066209,0.4959398263933791,157.0,10.62135173563291,13.675890069770842,12.990831575122998,12.97459056106245,0.0
20000000_Overdraft_1,20000000,47 : Retail,2020-03-28,2021-03-28,,censored,0,0,0,0,157.0,187.0,2020-09-30,41000,,0,0,1,0,366.0,0,0,63,765,0,1,2,0.0139639172969052,7548.0,4,1,1,540536.0,158.79,5691.53,531828.0317,13328.0,13502.0,94341.0,71429.0,4094.0,13504.0,12857.0,1.320747585048299,6.289935569873362,0.016109846874496934,22912.0,40.553379848450746,0.0,0.0,0.1,0.4,610972.0,0.0,0.7,-0.08884537549194915,1.0,869687.2297276888,438374.69600000005,431312.5337276888,0.5040601736066209,0.4959398263933791,187.0,10.62135173563291,13.675890069770842,12.990831575122998,12.97459056106245,0.0
20000000_Overdraft_1,20000000,47 : Retail,2020-03-28,2021-03-28,,censored,0,0,0,0,187.0,218.0,2020-10-31,41000,,0,0,1,0,366.0,0,0,63,765,0,1,2,0.0139639172969052,7548.0,4,1,1,540536.0,158.79,5691.53,531828.0317,13328.0,13502.0,94341.0,71429.0,4094.0,13504.0,12857.0,1.320747585048299,6.289935569873362,0.016109846874496934,22912.0,40.553379848450746,0.0,0.0,0.1,0.0,619330.0,0.0,-0.4,-0.0764360179961735,1.0,869687.2297276888,438374.69600000005,431312.5337276888,0.5040601736066209,0.4959398263933791,218.0,10.62135173563291,13.675890069770842,12.990831575122998,12.97459056106245,0.0
20000000_Overdraft_1,20000000,47 : Retail,2020-03-28,2021-03-28,,censored,0,0,0,0,218.0,248.0,2020-11-30,41000,,0,0,1,0,366.0,0,0,63,765,0,1,2,0.0139639172969052,7548.0,4,1,1,540536.0,158.79,5691.53,531828.0317,13328.0,13502.0,94341.0,71429.0,4094.0,13504.0,12857.0,1.320747585048299,6.289935569873362,0.016109846874496934,22912.0,40.553379848450746,0.0,0.0,0.1,-0.1,619330.0,0.0,-0.1,-0.0764360179961735,1.0,869687.2297276888,438374.69600000005,431312.5337276888,0.5040601736066209,0.4959398263933791,248.0,10.62135173563291,13.675890069770842,12.990831575122998,12.97459056106245,0.0
20000000_Overdraft_1,20000000,47 : Retail,2020-03-28,2021-03-28,,censored,0,0,0,0,248.0,279.0,2020-12-31,41000,,0,0,1,0,366.0,0,0,63,765,0,1,2,0.0139639172969052,7548.0,4,1,1,540536.0,158.79,5691.53,531828.0317,13328.0,13502.0,94341.0,71429.0,4094.0,13504.0,12857.0,1.320747585048299,6.289935569873362,0.016109846874496934,22912.0,40.553379848450746,0.0,0.0,0.1,0.2,619330.0,0.0,0.30000000000000004,-0.0764360179961735,1.0,869687.2297276888,438374.69600000005,431312.5337276888,0.5040601736066209,0.4959398263933791,279.0,10.62135173563291,13.675890069770842,12.990831575122998,12.97459056106245,0.0
