calendar_month,uk_interest_rate,uk_cpi,uk_gdp
2015-01-31,0.5,-0.6999999999999998,613076.0
2015-02-28,0.5,0.2,613076.0
2015-03-31,0.5,0.2,613076.0
2015-04-30,0.5,0.2999999999999999,615875.0
2015-05-31,0.5,0.2,615875.0
2015-06-30,0.5,0.1,615875.0
2015-07-31,0.5,-0.1,618263.0
2015-08-31,0.5,0.2,618263.0
2015-09-30,0.5,-0.1,618263.0
2015-10-31,0.5,0.1,621968.0
2015-11-30,0.5,0.0,621968.0
2015-12-31,0.5,0.1,621968.0
2016-01-31,0.5,-0.5999999999999999,625099.0
2016-02-29,0.5,0.2,625099.0
2016-03-31,0.5,0.2999999999999999,625099.0
2016-04-30,0.5,0.2,629697.0
2016-05-31,0.5,0.2,629697.0
2016-06-30,0.5,0.2,629697.0
2016-07-31,0.5,0.0,632477.0
2016-08-31,0.25,0.2999999999999999,632477.0
2016-09-30,0.25,0.2,632477.0
2016-10-31,0.25,0.1,636392.0
2016-11-30,0.25,0.2,636392.0
2016-12-31,0.25,0.4,636392.0
2017-01-31,0.25,-0.4,642463.0
2017-02-28,0.25,0.5999999999999999,642463.0
2017-03-31,0.25,0.2999999999999999,642463.0
2017-04-30,0.25,0.5,647944.0
2017-05-31,0.25,0.2999999999999999,647944.0
2017-06-30,0.25,0.0,647944.0
2017-07-31,0.25,0.0,652329.0
2017-08-31,0.25,0.5,652329.0
2017-09-30,0.25,0.2999999999999999,652329.0
2017-10-31,0.25,0.1,657225.0
2017-11-30,0.5,0.2999999999999999,657225.0
2017-12-31,0.5,0.2999999999999999,657225.0
2018-01-31,0.5,-0.4,657741.0
2018-02-28,0.5,0.4,657741.0
2018-03-31,0.5,0.1,657741.0
2018-04-30,0.5,0.4,659172.0
2018-05-31,0.5,0.2999999999999999,659172.0
2018-06-30,0.5,0.0,659172.0
2018-07-31,0.5,0.0,661262.0
2018-08-31,0.75,0.5999999999999999,661262.0
2018-09-30,0.75,0.1,661262.0
2018-10-31,0.75,0.1,662120.0
2018-11-30,0.75,0.2,662120.0
2018-12-31,0.75,0.1,662120.0
2019-01-31,0.75,-0.5999999999999999,665456.0
2019-02-28,0.75,0.4,665456.0
2019-03-31,0.75,0.2,665456.0
2019-04-30,0.75,0.5999999999999999,666875.0
2019-05-31,0.75,0.2999999999999999,666875.0
2019-06-30,0.75,0.0,666875.0
2019-07-31,0.75,0.0,670547.0
2019-08-31,0.75,0.2999999999999999,670547.0
2019-09-30,0.75,0.1,670547.0
2019-10-31,0.75,-0.1,670587.0
2019-11-30,0.75,0.2,670587.0
2019-12-31,0.75,0.0,670587.0
2020-01-31,0.75,-0.2,652180.0
2020-02-29,0.75,0.2999999999999999,652180.0
2020-03-31,0.1,0.0,652180.0
2020-04-30,0.1,0.0,522356.0
2020-05-31,0.1,0.0,522356.0
2020-06-30,0.1,0.1,522356.0
2020-07-31,0.1,0.4,610972.0
2020-08-31,0.1,-0.2999999999999999,610972.0
2020-09-30,0.1,0.4,610972.0
2020-10-31,0.1,0.0,619330.0
2020-11-30,0.1,-0.1,619330.0
2020-12-31,0.1,0.2,619330.0
2021-01-31,0.1,-0.1,612665.0
2021-02-28,0.1,0.1,612665.0
2021-03-31,0.1,0.2,612665.0
2021-04-30,0.1,0.6999999999999998,655443.0
2021-05-31,0.1,0.5,655443.0
2021-06-30,0.1,0.4,655443.0
2021-07-31,0.1,0.0,666498.0
2021-08-31,0.1,0.5999999999999999,666498.0
2021-09-30,0.1,0.2999999999999999,666498.0
2021-10-31,0.1,0.9,675680.0
2021-11-30,0.1,0.5999999999999999,675680.0
2021-12-31,0.25,0.5,675680.0
2022-01-31,0.25,0.0,682527.0
2022-02-28,0.5,0.6999999999999998,682527.0
2022-03-31,0.75,0.9,682527.0
2022-04-30,0.75,2.1,686335.0
2022-05-31,1.0,0.5999999999999999,686335.0
2022-06-30,1.25,0.6999999999999998,686335.0
2022-07-31,1.25,0.5999999999999999,687029.0
2022-08-31,1.75,0.5,687029.0
2022-09-30,2.25,0.4,687029.0
2022-10-31,2.25,1.6,688817.0
2022-11-30,3.0,0.4,688817.0
2022-12-31,3.5,0.4,688817.0
2023-01-31,3.5,-0.4,689206.0
2023-02-28,4.0,1.0,689206.0
2023-03-31,4.25,0.6999999999999998,689206.0
2023-04-30,4.25,1.2,689491.0
2023-05-31,4.5,0.5999999999999999,689491.0
2023-06-30,5.0,0.2,689491.0
2023-07-31,5.0,-0.2999999999999999,687839.0
2023-08-31,5.25,0.4,687839.0
2023-09-30,5.25,0.5,687839.0
2023-10-31,5.25,0.1,685628.0
2023-11-30,5.25,-0.1,685628.0
2023-12-31,5.25,0.4,685628.0
2024-01-31,5.25,-0.4,691198.0
2024-02-29,5.25,0.5999999999999999,691198.0
