threshold,approval_rate,approved_count,bad_debt_rate
0.5367443160513039,0.027777777777777776,1,0.0
0.5918363829857314,0.027777777777777776,1,0.0
0.6391908529131329,0.05555555555555555,2,0.0
0.6401197407983792,0.05555555555555555,2,0.0
0.6410486286836254,0.05555555555555555,2,0.0
0.6432984864658529,0.08333333333333333,3,0.0
0.6488507689905332,0.08333333333333333,3,0.0
0.6544030515152135,0.08333333333333333,3,0.0
0.6711051816333573,0.1111111111111111,4,0.0
0.7026737752094526,0.1111111111111111,4,0.0
0.734242368785548,0.1111111111111111,4,0.0
0.758888400994345,0.1388888888888889,5,0.2
0.7783425121776681,0.1388888888888889,5,0.2
0.7977966233609913,0.1388888888888889,5,0.2
0.8049512554887089,0.16666666666666666,6,0.16666666666666666
0.8071860959941842,0.16666666666666666,6,0.16666666666666666
0.8094209364996596,0.16666666666666666,6,0.16666666666666666
0.8102866143489843,0.19444444444444445,7,0.14285714285714285
0.8109240984222839,0.19444444444444445,7,0.14285714285714285
0.8115615824955834,0.2222222222222222,8,0.125
0.8141013983573905,0.2222222222222222,8,0.125
0.8166412142191976,0.2222222222222222,8,0.125
0.82181219864554,0.25,9,0.1111111111111111
0.8427701944590948,0.25,9,0.1111111111111111
0.8637281902726497,0.25,9,0.1111111111111111
0.8797630919202446,0.2777777777777778,10,0.1
0.8834902581529397,0.2777777777777778,10,0.1
0.8872174243856348,0.2777777777777778,10,0.1
0.8990047449589302,0.3055555555555556,11,0.09090909090909091
0.9215389379863592,0.3055555555555556,11,0.09090909090909091
0.9440731310137884,0.3055555555555556,11,0.09090909090909091
0.9549697579500004,0.3333333333333333,12,0.08333333333333333
0.9571382103177997,0.3333333333333333,12,0.08333333333333333
0.9593066626855988,0.3333333333333333,12,0.08333333333333333
0.9651737710437677,0.3611111111111111,13,0.07692307692307693
0.9725203417980843,0.3611111111111111,13,0.07692307692307693
0.979866912552401,0.3611111111111111,13,0.07692307692307693
0.994549863536332,0.3888888888888889,14,0.07142857142857142
1.010455544558532,0.3888888888888889,14,0.07142857142857142
1.026361225580732,0.4166666666666667,15,0.06666666666666667
1.027019997012962,0.4166666666666667,15,0.06666666666666667
1.027678768445192,0.4166666666666667,15,0.06666666666666667
1.0284163773873003,0.4444444444444444,16,0.0625
1.0296270113886778,0.4444444444444444,16,0.0625
1.0308376453900554,0.4444444444444444,16,0.0625
1.0356220249091448,0.4722222222222222,17,0.058823529411764705
1.049340768222514,0.4722222222222222,17,0.058823529411764705
1.0630595115358832,0.4722222222222222,17,0.058823529411764705
1.0713032884603464,0.5,18,0.05555555555555555
1.0722471101996016,0.5,18,0.05555555555555555
1.0731909319388568,0.5,18,0.05555555555555555
1.0816758694399977,0.5277777777777778,19,0.05263157894736842
1.0958166437625525,0.5277777777777778,19,0.05263157894736842
1.1099574180851073,0.5277777777777778,19,0.05263157894736842
1.1142960779824593,0.5555555555555556,20,0.05
1.1147138921097302,0.5555555555555556,20,0.05
1.1151317062370012,0.5555555555555556,20,0.05
1.1199997440608087,0.5833333333333334,21,0.047619047619047616
1.1256094858340386,0.5833333333333334,21,0.047619047619047616
1.1312192276072688,0.6111111111111112,22,0.045454545454545456
1.13704881822187,0.6111111111111112,22,0.045454545454545456
1.1428784088364716,0.6111111111111112,22,0.045454545454545456
1.1482396550329113,0.6388888888888888,23,0.043478260869565216
1.1507908347203797,0.6388888888888888,23,0.043478260869565216
1.1533420144078483,0.6388888888888888,23,0.043478260869565216
1.157768648904848,0.6666666666666666,24,0.041666666666666664
1.1668839204256756,0.6666666666666666,24,0.041666666666666664
1.1759991919465032,0.6666666666666666,24,0.041666666666666664
1.182597017844599,0.6944444444444444,25,0.04
1.1858382495790525,0.6944444444444444,25,0.04
1.1890794813135057,0.6944444444444444,25,0.04
1.1912186806968648,0.7222222222222222,26,0.038461538461538464
1.1925313558169028,0.7222222222222222,26,0.038461538461538464
1.193844030936941,0.7222222222222222,26,0.038461538461538464
1.1947440019206557,0.75,27,0.037037037037037035
1.1954788912498413,0.75,27,0.037037037037037035
1.196213780579027,0.75,27,0.037037037037037035
1.1967445622519397,0.7777777777777778,28,0.03571428571428571
1.1972413259821404,0.7777777777777778,28,0.03571428571428571
1.197738089712341,0.8055555555555556,29,0.034482758620689655
1.2028918816146585,0.8055555555555556,29,0.034482758620689655
1.208045673516976,0.8055555555555556,29,0.034482758620689655
1.2128131047424464,0.8333333333333334,30,0.06666666666666667
1.215262371906836,0.8333333333333334,30,0.06666666666666667
1.2177116390712257,0.8333333333333334,30,0.06666666666666667
1.2219887756078267,0.8611111111111112,31,0.06451612903225806
1.230835585574957,0.8611111111111112,31,0.06451612903225806
1.2396823955420875,0.8611111111111112,31,0.06451612903225806
1.245223552702395,0.8888888888888888,32,0.0625
1.2463571727869385,0.8888888888888888,32,0.0625
1.247490792871482,0.8888888888888888,32,0.0625
1.2778522193139794,0.9166666666666666,33,0.06060606060606061
1.3301345005249412,0.9166666666666666,33,0.06060606060606061
1.3824167817359023,0.9166666666666666,33,0.06060606060606061
1.6638632125707273,0.9444444444444444,34,0.058823529411764705
2.036975303255099,0.9444444444444444,34,0.058823529411764705
2.4100873939394627,0.9444444444444444,34,0.058823529411764705
3.6031693460572254,0.9722222222222222,35,0.08571428571428572
4.932912941747233,0.9722222222222222,35,0.08571428571428572
