loan_key,feature,contribution,standardized_value,risk_score
20000315_Overdraft_1,log_ca_cum_amount,0.5146823263464027,-17.50436654611982,6.26265653743724
20000315_Overdraft_1,log_ca_cum_payin,0.46135414206867614,-16.456889865439212,6.26265653743724
20000315_Overdraft_1,log_ca_cum_payout,0.4560570285004493,-16.012602328522664,6.26265653743724
20000315_Overdraft_1,log_loan_amount,0.28681701186650826,-12.858206306438058,6.26265653743724
20000315_Overdraft_1,ca_cum_new_accounts,-0.07188887342729246,3.567902912448789,6.26265653743724
20000315_Overdraft_1,business_failure_score,0.04763020784940605,-3.3455740043152837,6.26265653743724
20000315_Overdraft_1,payment_index,0.02854356739245441,3.0764102781742,6.26265653743724
20000315_Overdraft_1,loan_number_of_missed_payments,0.026622067049978163,2.06418738616856,6.26265653743724
20000315_Overdraft_1,ratio_debt_to_revenue,0.02220136818038748,-2.1456574921913054,6.26265653743724
20000315_Overdraft_1,uk_cpi_diff,0.018759156391201515,0.945843501939714,6.26265653743724
20000315_Overdraft_1,credit_report_negative_items,0.01576945167377769,2.9715494285385753,6.26265653743724
20000315_Overdraft_1,uk_gdp_yoy,0.014922949327985305,2.1770317838296354,6.26265653743724
20000315_Overdraft_1,credit_signal_score,0.012195107876325637,-2.3994118356315606,6.26265653743724
20000315_Overdraft_1,is_term_loan,-0.007867764996043842,-0.589439354627738,6.26265653743724
20000315_Overdraft_1,is_overdraft,-0.007867764996043842,0.589439354627738,6.26265653743724
20000315_Overdraft_1,working_capital,0.0058268782946299435,-0.250216500680992,6.26265653743724
20000315_Overdraft_1,log_factor_amount,-0.004153707245939915,-0.41448401045622973,6.26265653743724
20000315_Overdraft_1,number_of_officers,0.004063205386877922,-0.5455186457445877,6.26265653743724
20000315_Overdraft_1,leverage_ratio,0.0031738537991332716,-0.19677160153504059,6.26265653743724
20000315_Overdraft_1,credit_report_credit_score,0.002820726034827962,-0.47843699407825424,6.26265653743724
20000315_Overdraft_1,credit_report_total_indebtedness,0.0024031393704273016,-0.8132309133232336,6.26265653743724
20000315_Overdraft_1,factor_percent,-0.00208552880312064,-0.35861485583966074,6.26265653743724
20000315_Overdraft_1,loan_age_days,0.0016873683099234925,-1.022513080792233,6.26265653743724
20000315_Overdraft_1,profit_margin_proxy,0.0013511920002488272,0.2798130789404455,6.26265653743724
20000315_Overdraft_1,uk_interest_rate_diff,-0.00110816393587116,-0.31668429617035654,6.26265653743724
20000315_Overdraft_1,ca_latest_cost_ratio,0.0009244737744184882,-0.2602447167555397,6.26265653743724
20000315_Overdraft_1,ca_latest_rev_ratio,0.0009244737744184832,0.26024471675554045,6.26265653743724
20000315_Overdraft_1,credit_report_good_standing_items,0.0007723130125304801,-0.22272907448618046,6.26265653743724
20000315_Overdraft_1,liquidity_ratio,0.0007512229205970142,-0.1855493072896227,6.26265653743724
20000315_Overdraft_1,women_owned,-0.0006828651220591771,-0.645648376980762,6.26265653743724
20000315_Overdraft_1,receivable_turnover_proxy,5.899421336245873e-06,-0.21656264403958955,6.26265653743724
20000494_Loan_1,working_capital,-0.3489416350478579,14.984173419933047,0.48165224911687654
20000494_Loan_1,log_ca_cum_amount,-0.09469932716228296,3.2207279120827113,0.48165224911687654
20000494_Loan_1,log_ca_cum_payin,-0.09126973197527,3.2556680220323835,0.48165224911687654
20000494_Loan_1,log_ca_cum_payout,-0.08821489074481277,3.097309934231985,0.48165224911687654
20000494_Loan_1,ca_cum_new_accounts,-0.07188887342729246,3.567902912448789,0.48165224911687654
20000494_Loan_1,log_loan_amount,-0.06726855072412177,3.01569595721338,0.48165224911687654
20000494_Loan_1,business_failure_score,-0.03458977177840866,2.4296060525901213,0.48165224911687654
20000494_Loan_1,log_factor_amount,0.03222975367478568,3.2160951093024663,0.48165224911687654
20000494_Loan_1,credit_report_total_indebtedness,-0.023298363978984507,7.884249266074712,0.48165224911687654
20000494_Loan_1,is_term_loan,0.02264504155912619,1.6965273732554769,0.48165224911687654
20000494_Loan_1,is_overdraft,0.02264504155912619,-1.6965273732554769,0.48165224911687654
20000494_Loan_1,uk_gdp_yoy,0.014922949327985305,2.1770317838296354,0.48165224911687654
20000494_Loan_1,credit_report_credit_score,0.013936618254633404,-2.3638572704454814,0.48165224911687654
20000494_Loan_1,credit_signal_score,-0.008276701960458521,1.6284576442715863,0.48165224911687654
20000494_Loan_1,credit_report_good_standing_items,-0.007801069970606036,2.249767990910867,0.48165224911687654
20000494_Loan_1,factor_percent,0.0067950615254112195,1.1684374752871776,0.48165224911687654
20000494_Loan_1,liquidity_ratio,-0.005810502609653678,1.4351728423953924,0.48165224911687654
20000494_Loan_1,uk_cpi_diff,-0.004609319140734484,-0.23240355092273005,0.48165224911687654
20000494_Loan_1,leverage_ratio,0.004172753714472462,-0.2587010880691037,0.48165224911687654
20000494_Loan_1,number_of_officers,0.004063205386877922,-0.5455186457445877,0.48165224911687654
20000494_Loan_1,loan_number_of_missed_payments,-0.004056695931425244,-0.3145428397971139,0.48165224911687654
20000494_Loan_1,credit_report_negative_items,-0.003242450661184363,-0.6109979350346528,0.48165224911687654
20000494_Loan_1,payment_index,-0.002872036516336968,-0.30954654464411424,0.48165224911687654
20000494_Loan_1,ratio_debt_to_revenue,0.0027134204433612794,-0.26223928437466104,0.48165224911687654
20000494_Loan_1,loan_age_days,0.001735832655777515,-1.0518815519768219,0.48165224911687654
20000494_Loan_1,uk_interest_rate_diff,-0.00110816393587116,-0.31668429617035654,0.48165224911687654
20000494_Loan_1,profit_margin_proxy,0.00107061414524086,0.22170930576992093,0.48165224911687654
20000494_Loan_1,women_owned,-0.0006828651220591771,-0.645648376980762,0.48165224911687654
20000494_Loan_1,ca_latest_cost_ratio,0.0005809345780317216,-0.16353644516142465,0.48165224911687654
20000494_Loan_1,ca_latest_rev_ratio,0.0005809345780317197,0.16353644516142546,0.48165224911687654
20000494_Loan_1,receivable_turnover_proxy,5.889103472944402e-06,-0.21618388422060916,0.48165224911687654
